,subjects,lh_G_and_S_frontomargin_area,lh_G_and_S_occipital_inf_area,lh_G_and_S_paracentral_area,lh_G_and_S_subcentral_area,lh_G_and_S_transv_frontopol_area,lh_G_and_S_cingul-Ant_area,lh_G_and_S_cingul-Mid-Ant_area,lh_G_and_S_cingul-Mid-Post_area,lh_G_cingul-Post-dorsal_area,lh_G_cingul-Post-ventral_area,lh_G_cuneus_area,lh_G_front_inf-Opercular_area,lh_G_front_inf-Orbital_area,lh_G_front_inf-Triangul_area,lh_G_front_middle_area,lh_G_front_sup_area,lh_G_Ins_lg_and_S_cent_ins_area,lh_G_insular_short_area,lh_G_occipital_middle_area,lh_G_occipital_sup_area,lh_G_oc-temp_lat-fusifor_area,lh_G_oc-temp_med-Lingual_area,lh_G_oc-temp_med-Parahip_area,lh_G_orbital_area,lh_G_pariet_inf-Angular_area,lh_G_pariet_inf-Supramar_area,lh_G_parietal_sup_area,lh_G_postcentral_area,lh_G_precentral_area,lh_G_precuneus_area,lh_G_rectus_area,lh_G_subcallosal_area,lh_G_temp_sup-G_T_transv_area,lh_G_temp_sup-Lateral_area,lh_G_temp_sup-Plan_polar_area,lh_G_temp_sup-Plan_tempo_area,lh_G_temporal_inf_area,lh_G_temporal_middle_area,lh_Lat_Fis-ant-Horizont_area,lh_Lat_Fis-ant-Vertical_area,lh_Lat_Fis-post_area,lh_Pole_occipital_area,lh_Pole_temporal_area,lh_S_calcarine_area,lh_S_central_area,lh_S_cingul-Marginalis_area,lh_S_circular_insula_ant_area,lh_S_circular_insula_inf_area,lh_S_circular_insula_sup_area,lh_S_collat_transv_ant_area,lh_S_collat_transv_post_area,lh_S_front_inf_area,lh_S_front_middle_area,lh_S_front_sup_area,lh_S_interm_prim-Jensen_area,lh_S_intrapariet_and_P_trans_area,lh_S_oc_middle_and_Lunatus_area,lh_S_oc_sup_and_transversal_area,lh_S_occipital_ant_area,lh_S_oc-temp_lat_area,lh_S_oc-temp_med_and_Lingual_area,lh_S_orbital_lateral_area,lh_S_orbital_med-olfact_area,lh_S_orbital-H_Shaped_area,lh_S_parieto_occipital_area,lh_S_pericallosal_area,lh_S_postcentral_area,lh_S_precentral-inf-part_area,lh_S_precentral-sup-part_area,lh_S_suborbital_area,lh_S_subparietal_area,lh_S_temporal_inf_area,lh_S_temporal_sup_area,lh_S_temporal_transverse_area,lh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
0,0539,967.0,1343.0,939.0,1143.0,553.0,1761.0,835.0,903.0,537.0,256.0,1756.0,848.0,303.0,1006.0,4165.0,6115.0,516.0,653.0,1595.0,1173.0,1282.0,1961.0,1166.0,1931.0,1914.0,2492.0,1942.0,1543.0,1836.0,1794.0,793.0,609.0,491.0,1541.0,595.0,796.0,2192.0,2003.0,212.0,204.0,1022.0,1539.0,1413.0,1791.0,2121.0,672.0,447.0,1069.0,1210.0,689.0,414.0,1719.0,1265.0,2291.0,375.0,1936.0,804.0,963.0,625.0,826.0,1681.0,361.0,574.0,1098.0,1523.0,920.0,1852.0,1451.0,814.0,794.0,748.0,906.0,4136.0,376.0,95089.5,1258269.0,1649212.100829
1,0697,1017.0,1253.0,1286.0,1217.0,655.0,1854.0,862.0,1024.0,617.0,211.0,1234.0,1066.0,289.0,782.0,3690.0,6125.0,502.0,567.0,1522.0,1046.0,1092.0,1610.0,1277.0,1870.0,2033.0,2475.0,2687.0,2137.0,2131.0,2145.0,782.0,550.0,367.0,1631.0,513.0,820.0,2487.0,2276.0,221.0,184.0,808.0,1483.0,1391.0,1174.0,2710.0,859.0,471.0,940.0,1310.0,946.0,303.0,2067.0,1230.0,2621.0,646.0,2077.0,859.0,949.0,601.0,830.0,1456.0,279.0,595.0,1245.0,1538.0,944.0,2570.0,1218.0,1025.0,605.0,941.0,1525.0,5323.0,391.0,100038.0,1341689.0,1544539.583252
2,0750,948.0,931.0,999.0,1069.0,576.0,1558.0,845.0,853.0,400.0,176.0,1379.0,734.0,259.0,672.0,2815.0,4566.0,443.0,495.0,1340.0,910.0,1164.0,2120.0,974.0,1729.0,1471.0,2238.0,2001.0,1368.0,1712.0,1990.0,584.0,314.0,356.0,1386.0,456.0,668.0,1554.0,1675.0,181.0,154.0,701.0,1438.0,1343.0,1822.0,1892.0,759.0,368.0,887.0,1063.0,623.0,316.0,1399.0,997.0,2106.0,207.0,2285.0,680.0,728.0,356.0,625.0,1377.0,220.0,413.0,1208.0,1743.0,642.0,1942.0,1077.0,763.0,798.0,577.0,1045.0,3317.0,269.0,82045.1,1105806.0,1446290.834293
3,0756,975.0,1250.0,1292.0,1088.0,560.0,1640.0,970.0,1013.0,486.0,217.0,1666.0,966.0,320.0,874.0,3140.0,5950.0,511.0,546.0,1957.0,1026.0,1870.0,2208.0,1058.0,2151.0,2055.0,1847.0,2447.0,1569.0,1681.0,2417.0,720.0,733.0,389.0,1425.0,642.0,595.0,2260.0,1854.0,188.0,268.0,707.0,1463.0,1438.0,1997.0,2192.0,864.0,464.0,971.0,1264.0,993.0,526.0,1667.0,1207.0,2060.0,178.0,1962.0,968.0,912.0,616.0,895.0,1621.0,328.0,618.0,1328.0,2063.0,977.0,2011.0,957.0,906.0,801.0,919.0,1322.0,4757.0,322.0,97099.8,1288496.0,1715453.536389
4,0832,1007.0,949.0,1327.0,1089.0,561.0,1623.0,1029.0,1258.0,452.0,210.0,1531.0,1378.0,313.0,1277.0,3690.0,5886.0,498.0,512.0,1622.0,1041.0,1364.0,2793.0,1064.0,1931.0,2353.0,2605.0,2713.0,2129.0,1984.0,2192.0,648.0,786.0,451.0,1707.0,715.0,604.0,2387.0,2214.0,247.0,395.0,683.0,1450.0,1438.0,1946.0,2453.0,1100.0,271.0,986.0,1079.0,950.0,386.0,2056.0,1066.0,2134.0,529.0,2968.0,914.0,1229.0,544.0,986.0,1575.0,407.0,513.0,1045.0,1438.0,1137.0,3235.0,980.0,1191.0,514.0,864.0,1397.0,5146.0,298.0,103439.0,1338357.0,1627458.102695
5,0835,1075.0,1345.0,986.0,949.0,667.0,1975.0,799.0,842.0,544.0,232.0,1530.0,939.0,301.0,760.0,3560.0,6141.0,494.0,527.0,2048.0,901.0,1714.0,2240.0,940.0,2056.0,2580.0,1959.0,2349.0,1589.0,1688.0,2382.0,789.0,647.0,193.0,1395.0,638.0,476.0,2509.0,2271.0,229.0,245.0,601.0,1689.0,1503.0,1892.0,2245.0,746.0,338.0,822.0,1126.0,656.0,453.0,1686.0,1242.0,2099.0,264.0,2676.0,958.0,1291.0,713.0,773.0,1830.0,359.0,524.0,1406.0,1544.0,927.0,1985.0,1035.0,903.0,649.0,1033.0,1710.0,4963.0,115.0,98260.8,1317502.0,1512600.85085
6,0836,861.0,1082.0,833.0,1044.0,518.0,1662.0,938.0,889.0,443.0,205.0,1680.0,1236.0,318.0,882.0,2655.0,4732.0,443.0,449.0,2025.0,1048.0,1070.0,2337.0,789.0,1876.0,2121.0,1823.0,1755.0,1348.0,1686.0,1431.0,815.0,627.0,286.0,1314.0,410.0,554.0,1927.0,2296.0,213.0,248.0,641.0,1411.0,1047.0,1704.0,2008.0,721.0,340.0,972.0,1118.0,589.0,433.0,1581.0,1017.0,1594.0,67.0,1872.0,852.0,1164.0,495.0,638.0,1418.0,309.0,485.0,1110.0,1165.0,991.0,1487.0,1259.0,759.0,488.0,575.0,1442.0,4388.0,197.0,85205.0,1089223.0,1415123.416772
7,0838,860.0,1239.0,958.0,1178.0,535.0,1790.0,1124.0,1020.0,434.0,195.0,1115.0,1161.0,262.0,787.0,3137.0,5221.0,434.0,512.0,1764.0,779.0,1392.0,1993.0,1026.0,1896.0,2148.0,2108.0,2142.0,1350.0,1668.0,2059.0,615.0,498.0,385.0,1538.0,673.0,668.0,2047.0,2176.0,165.0,262.0,799.0,1310.0,1394.0,1720.0,2038.0,818.0,311.0,1026.0,1364.0,789.0,397.0,1746.0,895.0,2042.0,248.0,2262.0,928.0,831.0,677.0,583.0,1478.0,233.0,474.0,1111.0,1550.0,961.0,2148.0,1070.0,1110.0,537.0,819.0,1259.0,4551.0,317.0,91111.8,1173661.0,1556209.500179
8,0839,695.0,782.0,987.0,806.0,432.0,1474.0,846.0,883.0,394.0,192.0,1050.0,713.0,234.0,667.0,2546.0,4869.0,395.0,449.0,1265.0,766.0,1062.0,1976.0,995.0,1445.0,1816.0,1564.0,2011.0,1199.0,1679.0,1809.0,503.0,430.0,231.0,1013.0,515.0,485.0,2079.0,1399.0,167.0,210.0,685.0,924.0,1059.0,1430.0,1953.0,618.0,314.0,794.0,959.0,687.0,328.0,1198.0,842.0,2078.0,276.0,1818.0,317.0,814.0,699.0,537.0,1285.0,211.0,430.0,996.0,1124.0,709.0,1812.0,1000.0,804.0,399.0,742.0,1338.0,3193.0,249.0,75656.1,1070940.0,1353875.517934
9,0840,753.0,1023.0,1091.0,1018.0,415.0,1540.0,1015.0,886.0,289.0,177.0,1044.0,835.0,201.0,546.0,3329.0,5539.0,392.0,344.0,1247.0,691.0,1209.0,1500.0,832.0,1482.0,1812.0,1937.0,2164.0,1360.0,1798.0,1491.0,660.0,427.0,292.0,1216.0,524.0,573.0,2043.0,1876.0,163.0,167.0,680.0,1077.0,1016.0,1193.0,1982.0,746.0,277.0,857.0,895.0,597.0,291.0,1399.0,860.0,2311.0,166.0,2421.0,586.0,735.0,352.0,645.0,1376.0,194.0,556.0,1142.0,1138.0,549.0,1798.0,1063.0,841.0,367.0,491.0,1395.0,4018.0,241.0,80157.8,1035959.0,1405197.628024
