,subjects,lh_G_and_S_frontomargin_thickness,lh_G_and_S_occipital_inf_thickness,lh_G_and_S_paracentral_thickness,lh_G_and_S_subcentral_thickness,lh_G_and_S_transv_frontopol_thickness,lh_G_and_S_cingul-Ant_thickness,lh_G_and_S_cingul-Mid-Ant_thickness,lh_G_and_S_cingul-Mid-Post_thickness,lh_G_cingul-Post-dorsal_thickness,lh_G_cingul-Post-ventral_thickness,lh_G_cuneus_thickness,lh_G_front_inf-Opercular_thickness,lh_G_front_inf-Orbital_thickness,lh_G_front_inf-Triangul_thickness,lh_G_front_middle_thickness,lh_G_front_sup_thickness,lh_G_Ins_lg_and_S_cent_ins_thickness,lh_G_insular_short_thickness,lh_G_occipital_middle_thickness,lh_G_occipital_sup_thickness,lh_G_oc-temp_lat-fusifor_thickness,lh_G_oc-temp_med-Lingual_thickness,lh_G_oc-temp_med-Parahip_thickness,lh_G_orbital_thickness,lh_G_pariet_inf-Angular_thickness,lh_G_pariet_inf-Supramar_thickness,lh_G_parietal_sup_thickness,lh_G_postcentral_thickness,lh_G_precentral_thickness,lh_G_precuneus_thickness,lh_G_rectus_thickness,lh_G_subcallosal_thickness,lh_G_temp_sup-G_T_transv_thickness,lh_G_temp_sup-Lateral_thickness,lh_G_temp_sup-Plan_polar_thickness,lh_G_temp_sup-Plan_tempo_thickness,lh_G_temporal_inf_thickness,lh_G_temporal_middle_thickness,lh_Lat_Fis-ant-Horizont_thickness,lh_Lat_Fis-ant-Vertical_thickness,lh_Lat_Fis-post_thickness,lh_Pole_occipital_thickness,lh_Pole_temporal_thickness,lh_S_calcarine_thickness,lh_S_central_thickness,lh_S_cingul-Marginalis_thickness,lh_S_circular_insula_ant_thickness,lh_S_circular_insula_inf_thickness,lh_S_circular_insula_sup_thickness,lh_S_collat_transv_ant_thickness,lh_S_collat_transv_post_thickness,lh_S_front_inf_thickness,lh_S_front_middle_thickness,lh_S_front_sup_thickness,lh_S_interm_prim-Jensen_thickness,lh_S_intrapariet_and_P_trans_thickness,lh_S_oc_middle_and_Lunatus_thickness,lh_S_oc_sup_and_transversal_thickness,lh_S_occipital_ant_thickness,lh_S_oc-temp_lat_thickness,lh_S_oc-temp_med_and_Lingual_thickness,lh_S_orbital_lateral_thickness,lh_S_orbital_med-olfact_thickness,lh_S_orbital-H_Shaped_thickness,lh_S_parieto_occipital_thickness,lh_S_pericallosal_thickness,lh_S_postcentral_thickness,lh_S_precentral-inf-part_thickness,lh_S_precentral-sup-part_thickness,lh_S_suborbital_thickness,lh_S_subparietal_thickness,lh_S_temporal_inf_thickness,lh_S_temporal_sup_thickness,lh_S_temporal_transverse_thickness,lh_MeanThickness_thickness,BrainSegVolNotVent,eTIV
0,0539,2.236,2.749,2.581,2.745,2.465,2.653,2.558,2.575,2.7,2.669,1.761,2.744,3.052,2.653,2.546,2.907,3.273,3.443,2.6,2.305,2.861,1.731,3.036,2.811,2.745,2.618,2.465,2.371,2.989,2.666,2.315,2.527,2.586,3.373,3.595,2.282,3.124,2.975,2.613,2.325,2.285,2.005,3.378,1.86,2.135,2.416,2.597,3.1,2.599,2.818,2.444,2.215,2.077,2.453,2.245,2.174,1.972,2.263,2.376,2.534,2.218,2.396,2.286,2.908,2.366,1.485,2.246,2.482,2.465,2.327,2.263,2.586,2.461,2.169,2.53596,1258269.0,1649212.100829
1,0697,2.324,2.611,2.39,2.889,2.9,2.739,2.706,2.782,3.184,2.887,1.928,3.154,3.157,2.809,2.884,2.975,3.444,3.554,2.751,2.34,2.912,1.951,3.33,2.845,2.62,2.753,2.434,1.962,3.137,2.88,2.119,2.611,2.246,3.113,3.592,2.734,3.156,3.079,2.154,2.577,2.403,2.125,3.23,2.058,2.106,2.284,2.906,2.896,2.6,2.577,2.364,2.369,2.323,2.549,2.276,2.262,2.194,2.18,2.501,2.614,2.515,2.226,2.294,2.663,2.414,1.955,2.209,2.731,2.538,2.207,2.62,2.622,2.621,1.893,2.62728,1341689.0,1544539.583252
2,0750,2.47,2.267,2.531,2.657,2.667,2.852,2.665,2.586,2.995,2.891,2.047,2.712,2.784,2.633,2.922,2.95,2.988,3.492,2.562,2.147,2.789,2.291,3.008,2.97,2.68,2.704,2.478,2.51,2.955,2.513,3.116,2.104,2.657,3.181,3.277,2.506,3.196,3.106,2.239,2.207,2.447,2.009,3.472,2.122,2.187,2.267,2.77,2.859,2.537,2.606,1.984,2.382,2.292,2.452,2.294,2.13,1.891,1.966,2.269,2.477,2.615,1.835,2.725,2.595,2.28,2.324,2.233,2.545,2.417,2.716,2.398,2.638,2.482,2.111,2.5802,1105806.0,1446290.834293
3,0756,2.511,2.435,2.466,2.906,2.79,2.727,2.697,2.551,3.143,2.793,1.867,2.84,2.914,2.701,2.675,3.018,2.945,3.617,2.729,2.058,2.86,1.797,2.826,2.734,2.533,2.921,2.427,2.327,3.0,2.585,2.487,2.458,2.33,3.12,3.718,2.788,3.148,3.258,2.348,2.535,2.732,2.104,3.476,1.705,1.892,2.389,2.73,2.974,2.602,2.811,1.759,2.312,2.078,2.539,2.407,2.098,2.208,2.139,2.144,2.512,2.262,2.18,2.368,2.468,2.206,1.707,2.217,2.588,2.644,2.358,2.358,2.436,2.486,2.196,2.5451,1288496.0,1715453.536389
4,0832,2.34,2.376,2.359,2.857,2.675,2.896,2.723,2.623,2.789,2.993,1.775,2.863,2.82,2.669,2.614,2.884,3.422,3.872,2.517,2.198,3.128,2.149,2.994,2.731,2.755,2.802,2.379,2.208,2.756,2.433,2.429,2.631,2.648,3.343,3.829,2.69,3.239,2.961,2.128,2.272,2.665,1.889,3.438,1.904,2.011,2.224,3.254,2.851,2.867,2.707,2.105,2.308,2.359,2.637,2.598,2.177,2.047,2.24,2.123,2.717,2.771,2.35,2.308,2.656,2.252,2.109,2.104,2.439,2.326,2.426,2.304,2.444,2.555,2.712,2.55758,1338357.0,1627458.102695
5,0835,2.528,2.312,2.262,2.603,2.514,2.796,2.671,2.523,2.96,2.787,1.707,2.95,2.82,2.741,2.691,2.792,3.309,3.328,2.278,1.818,2.818,2.031,2.874,2.738,2.438,2.541,2.183,2.134,2.758,2.426,2.673,2.762,2.552,3.211,3.51,2.335,2.752,2.805,2.249,2.29,2.465,1.77,3.178,1.818,1.926,2.149,2.944,2.845,2.649,2.754,1.904,2.375,2.41,2.425,1.801,1.927,1.837,1.863,2.062,2.167,2.384,2.331,2.411,2.816,2.132,1.571,2.032,2.579,2.396,2.287,2.234,2.217,2.258,2.316,2.43038,1317502.0,1512600.85085
6,0836,2.487,2.499,2.463,2.844,2.559,2.674,2.799,2.633,2.828,2.755,1.956,2.68,2.838,2.569,2.656,2.846,3.107,3.642,2.503,1.961,2.912,1.826,2.877,2.747,2.472,2.462,2.361,2.39,2.876,2.53,2.374,2.271,2.611,3.158,3.735,2.117,2.844,2.975,1.917,2.236,2.253,1.882,3.417,1.668,2.017,2.358,2.706,3.031,2.455,2.952,2.041,2.171,2.219,2.302,2.897,2.05,1.976,2.051,1.983,2.604,2.425,2.09,2.282,2.958,2.265,2.135,1.822,2.442,2.269,2.306,2.545,2.44,2.446,2.366,2.472,1089223.0,1415123.416772
7,0838,2.698,2.604,2.641,2.902,2.705,2.946,2.763,2.749,2.935,2.753,1.982,2.658,2.899,2.771,2.708,2.982,3.217,3.576,2.73,2.121,3.011,2.247,3.301,2.801,2.592,2.759,2.393,2.463,2.894,2.663,2.548,2.867,2.972,3.192,3.458,2.69,2.807,2.913,2.327,2.223,2.404,2.34,3.347,2.228,2.168,2.344,2.921,2.952,2.671,2.683,2.207,2.178,2.222,2.443,2.096,2.264,2.105,2.108,2.474,2.473,2.488,2.057,2.503,2.737,2.33,1.731,2.112,2.498,2.347,2.781,2.387,2.417,2.482,2.742,2.60167,1173661.0,1556209.500179
8,0839,2.662,2.314,2.413,2.991,2.714,2.845,2.838,2.782,3.083,3.035,2.058,3.065,2.917,2.818,2.847,2.958,3.55,3.514,2.636,2.26,3.114,2.241,3.27,2.897,2.832,2.893,2.381,2.405,2.874,2.776,2.631,2.715,2.773,3.351,3.325,2.767,2.96,3.054,2.241,2.56,2.515,2.048,3.34,2.164,2.089,2.309,2.909,2.883,2.652,2.779,2.132,2.401,2.377,2.676,2.415,2.277,2.467,2.173,2.36,2.612,2.769,2.703,2.59,3.04,2.321,2.07,2.278,2.565,2.497,2.069,2.725,2.415,2.555,2.433,2.65613,1070940.0,1353875.517934
9,0840,1.856,2.238,2.417,2.653,2.166,2.892,2.619,2.611,2.936,2.866,1.994,3.232,2.853,2.893,2.576,2.81,3.196,3.971,2.615,2.193,3.045,2.119,2.845,2.667,2.737,2.747,2.382,2.382,2.736,2.618,2.554,2.528,2.804,3.277,2.874,2.483,2.977,3.12,2.519,2.593,2.492,1.843,3.429,1.846,1.859,2.342,3.078,2.84,2.651,2.845,2.125,2.187,2.201,2.414,2.296,2.098,1.92,1.919,2.253,2.525,2.397,1.946,2.472,2.761,2.33,2.183,2.102,2.449,2.185,2.615,2.334,2.479,2.524,2.573,2.53397,1035959.0,1405197.628024
