,subjects,rh_G_and_S_frontomargin_thickness,rh_G_and_S_occipital_inf_thickness,rh_G_and_S_paracentral_thickness,rh_G_and_S_subcentral_thickness,rh_G_and_S_transv_frontopol_thickness,rh_G_and_S_cingul-Ant_thickness,rh_G_and_S_cingul-Mid-Ant_thickness,rh_G_and_S_cingul-Mid-Post_thickness,rh_G_cingul-Post-dorsal_thickness,rh_G_cingul-Post-ventral_thickness,rh_G_cuneus_thickness,rh_G_front_inf-Opercular_thickness,rh_G_front_inf-Orbital_thickness,rh_G_front_inf-Triangul_thickness,rh_G_front_middle_thickness,rh_G_front_sup_thickness,rh_G_Ins_lg_and_S_cent_ins_thickness,rh_G_insular_short_thickness,rh_G_occipital_middle_thickness,rh_G_occipital_sup_thickness,rh_G_oc-temp_lat-fusifor_thickness,rh_G_oc-temp_med-Lingual_thickness,rh_G_oc-temp_med-Parahip_thickness,rh_G_orbital_thickness,rh_G_pariet_inf-Angular_thickness,rh_G_pariet_inf-Supramar_thickness,rh_G_parietal_sup_thickness,rh_G_postcentral_thickness,rh_G_precentral_thickness,rh_G_precuneus_thickness,rh_G_rectus_thickness,rh_G_subcallosal_thickness,rh_G_temp_sup-G_T_transv_thickness,rh_G_temp_sup-Lateral_thickness,rh_G_temp_sup-Plan_polar_thickness,rh_G_temp_sup-Plan_tempo_thickness,rh_G_temporal_inf_thickness,rh_G_temporal_middle_thickness,rh_Lat_Fis-ant-Horizont_thickness,rh_Lat_Fis-ant-Vertical_thickness,rh_Lat_Fis-post_thickness,rh_Pole_occipital_thickness,rh_Pole_temporal_thickness,rh_S_calcarine_thickness,rh_S_central_thickness,rh_S_cingul-Marginalis_thickness,rh_S_circular_insula_ant_thickness,rh_S_circular_insula_inf_thickness,rh_S_circular_insula_sup_thickness,rh_S_collat_transv_ant_thickness,rh_S_collat_transv_post_thickness,rh_S_front_inf_thickness,rh_S_front_middle_thickness,rh_S_front_sup_thickness,rh_S_interm_prim-Jensen_thickness,rh_S_intrapariet_and_P_trans_thickness,rh_S_oc_middle_and_Lunatus_thickness,rh_S_oc_sup_and_transversal_thickness,rh_S_occipital_ant_thickness,rh_S_oc-temp_lat_thickness,rh_S_oc-temp_med_and_Lingual_thickness,rh_S_orbital_lateral_thickness,rh_S_orbital_med-olfact_thickness,rh_S_orbital-H_Shaped_thickness,rh_S_parieto_occipital_thickness,rh_S_pericallosal_thickness,rh_S_postcentral_thickness,rh_S_precentral-inf-part_thickness,rh_S_precentral-sup-part_thickness,rh_S_suborbital_thickness,rh_S_subparietal_thickness,rh_S_temporal_inf_thickness,rh_S_temporal_sup_thickness,rh_S_temporal_transverse_thickness,rh_MeanThickness_thickness,BrainSegVolNotVent,eTIV
0,0539,2.586,2.514,2.384,2.727,2.686,2.569,2.643,2.512,2.634,2.785,1.722,2.795,2.783,2.728,2.683,2.916,3.323,3.109,2.604,2.289,2.891,1.925,3.163,2.824,2.564,2.727,2.455,2.538,2.982,2.685,2.624,2.605,2.691,3.341,3.564,2.591,3.048,3.068,2.13,2.571,2.482,1.976,3.321,1.552,2.18,2.191,2.72,3.054,2.6,2.762,2.248,2.289,2.206,2.405,2.22,2.2,2.32,2.194,2.112,2.546,2.483,2.247,2.104,2.559,2.359,1.738,2.213,2.513,2.437,2.373,2.298,2.56,2.58,2.475,2.54608,1258269.0,1649212.100829
1,0697,2.282,2.554,2.703,2.645,2.416,2.7,2.746,2.7,3.089,3.19,1.867,2.728,2.853,2.589,2.809,2.841,3.54,3.485,2.56,2.558,2.921,1.69,3.265,2.806,2.386,2.226,2.603,2.135,3.117,2.908,2.614,2.59,2.378,2.741,3.173,2.572,2.921,2.35,2.12,2.327,2.254,1.953,2.91,1.861,2.139,2.572,2.959,3.024,2.633,2.535,2.321,2.251,2.119,2.502,2.41,2.264,2.116,2.278,2.392,2.722,2.381,2.284,2.26,2.359,2.513,1.758,2.125,2.49,2.622,2.35,2.626,2.544,2.648,2.519,2.52631,1341689.0,1544539.583252
2,0750,2.438,2.648,2.437,2.417,2.634,2.672,2.634,2.62,2.737,2.71,2.106,2.76,3.003,2.652,2.806,2.92,3.297,2.893,2.61,2.307,2.94,2.389,3.079,2.874,2.67,2.605,2.329,2.457,2.977,2.524,2.907,2.242,2.529,2.999,2.972,2.369,2.866,2.906,2.1,2.141,2.424,2.064,3.388,2.221,2.078,2.287,3.071,2.799,2.611,2.391,2.474,2.255,1.972,2.303,2.2,2.105,2.089,2.045,2.421,2.499,2.581,2.123,2.363,2.735,2.375,1.849,2.131,2.447,2.332,2.516,2.351,2.425,2.452,2.101,2.52019,1105806.0,1446290.834293
3,0756,2.369,2.485,2.461,2.881,2.542,2.497,2.651,2.598,2.954,2.994,1.907,2.845,2.714,2.554,2.608,2.856,3.004,3.032,2.64,2.229,3.123,2.101,2.992,2.85,2.683,2.869,2.403,2.152,2.709,2.584,2.265,2.657,2.428,3.267,3.22,2.869,3.006,3.09,2.152,1.864,2.478,1.98,3.456,1.934,1.808,2.285,2.826,2.571,2.64,2.652,1.888,2.373,2.06,2.356,2.244,2.225,2.074,2.205,2.542,2.604,2.378,1.931,2.262,2.148,2.176,1.746,2.254,2.489,2.554,1.864,2.438,2.372,2.511,2.809,2.51,1288496.0,1715453.536389
4,0832,2.301,2.552,2.362,2.528,2.66,2.773,2.742,2.773,3.101,2.934,1.834,2.635,2.957,2.568,2.472,3.01,2.827,3.395,2.7,2.129,3.073,2.149,3.082,2.688,2.7,2.665,2.513,2.131,2.644,2.503,2.544,2.42,2.62,3.148,3.405,2.526,3.346,2.87,2.101,2.572,2.654,2.104,3.611,1.806,1.95,2.454,3.097,2.924,2.837,2.847,2.356,2.203,2.231,2.207,2.131,2.097,2.087,2.293,2.524,2.515,2.68,1.914,2.402,2.835,2.433,1.723,1.984,2.351,2.286,2.312,2.563,2.435,2.597,2.431,2.51867,1338357.0,1627458.102695
5,0835,2.223,2.548,2.261,2.69,2.298,2.665,2.586,2.572,2.817,2.641,1.739,2.564,2.474,2.458,2.417,2.767,3.345,3.11,2.389,1.968,2.878,1.866,2.697,2.626,2.554,2.468,2.249,2.215,2.643,2.342,2.529,2.345,2.509,2.909,3.442,2.245,3.068,2.665,2.071,2.588,2.502,1.743,3.16,1.814,1.879,2.237,3.032,2.704,2.531,2.611,1.877,2.127,1.834,2.215,2.108,1.951,1.683,1.877,2.255,2.524,2.421,2.057,2.339,2.456,2.055,1.904,2.052,2.44,2.168,2.652,2.416,2.304,2.379,2.816,2.36877,1317502.0,1512600.85085
6,0836,2.306,2.567,2.368,2.503,2.412,2.777,2.72,2.703,2.813,2.657,1.922,2.633,2.759,2.721,2.355,2.777,3.373,3.169,2.53,2.05,2.694,2.11,3.179,2.612,2.609,2.513,2.394,2.281,2.838,2.541,2.327,2.11,2.813,3.077,3.642,2.379,2.807,2.818,2.078,2.422,2.33,1.758,2.99,1.922,1.993,2.357,3.069,2.69,2.508,2.776,1.977,2.127,2.042,2.096,2.175,1.987,2.085,2.004,2.293,2.628,2.567,2.144,2.223,2.588,2.478,1.858,2.042,2.359,2.301,2.612,2.557,2.372,2.344,2.328,2.4332,1089223.0,1415123.416772
7,0838,2.573,2.794,2.716,2.686,2.575,2.734,2.771,2.922,3.157,2.939,2.158,2.73,3.011,2.758,2.644,2.919,3.684,3.403,2.791,2.401,3.065,2.333,3.386,2.756,2.858,2.855,2.563,2.539,2.997,2.519,2.462,2.933,2.646,3.201,3.543,2.529,2.801,2.918,2.243,2.103,2.641,2.146,3.153,2.047,2.086,2.326,2.825,2.977,2.435,2.479,2.378,2.19,1.994,2.386,2.159,2.203,2.176,2.263,2.439,2.79,2.584,2.048,2.43,2.589,2.367,1.752,2.228,2.419,2.409,2.405,2.636,2.136,2.417,2.469,2.5857,1173661.0,1556209.500179
8,0839,2.299,2.905,2.312,2.941,2.818,2.93,2.785,2.715,3.184,3.152,2.034,2.993,2.625,2.754,2.74,2.892,3.677,3.392,2.83,2.337,3.141,2.372,3.62,2.887,2.933,3.039,2.57,2.382,2.958,2.731,2.663,2.687,2.601,3.171,3.286,2.715,3.232,2.979,2.365,2.39,2.552,2.075,3.428,2.303,1.956,2.303,2.954,3.057,2.686,2.745,2.562,2.331,2.189,2.405,2.197,2.368,2.245,2.26,2.521,2.733,2.749,2.215,2.523,3.053,2.358,1.881,2.222,2.506,2.394,2.601,2.618,2.371,2.577,2.455,2.65294,1070940.0,1353875.517934
9,0840,1.896,2.947,2.382,2.578,2.314,2.66,2.518,2.592,3.019,2.993,2.061,2.852,2.863,2.76,2.705,2.853,2.901,3.324,2.62,2.295,3.099,2.241,3.043,2.848,2.731,2.708,2.468,2.31,2.759,2.619,2.448,2.798,2.495,3.003,3.336,2.459,2.85,3.213,2.281,2.205,2.548,1.988,3.397,1.883,1.857,2.53,3.198,2.387,2.696,2.461,2.197,2.204,2.16,2.276,2.256,2.001,2.242,2.088,2.266,2.459,2.456,2.156,2.501,2.665,2.338,1.749,2.042,2.396,2.127,3.103,2.543,2.467,2.476,2.286,2.51465,1035959.0,1405197.628024
10,0841,2.441,2.618,2.385,2.606,2.537,2.802,2.812,2.674,3.147,3.312,1.937,2.79,2.771,2.598,2.647,2.971,3.371,3.059,2.645,2.476,2.89,2.101,2.981,2.65,2.807,2.761,2.487,2.199,2.646,2.572,2.425,2.629,2.693,2.971,2.998,2.371,2.97,2.983,2.204,2.229,2.46,1.945,3.357,2.033,1.891,2.382,2.971,2.486,2.599,2.678,1.974,2.165,2.141,2.288,2.17,2.174,1.885,2.251,2.39,2.67,2.633,2.065,2.383,2.785,2.503,2.033,2.094,2.275,2.043,2.449,2.545,2.353,2.551,2.367,2.51541,1063907.0,1347410.759157
11,0842,2.406,2.782,2.522,2.861,2.395,2.747,3.02,2.681,3.247,2.788,1.919,2.664,2.751,2.686,2.698,2.902,3.827,3.146,2.848,2.314,2.817,2.039,3.329,2.768,2.76,2.858,2.547,2.518,2.862,2.559,2.43,2.422,3.103,3.121,3.329,2.405,3.053,3.027,2.208,2.672,2.574,2.041,3.462,1.858,1.969,2.412,2.896,2.756,2.716,2.808,2.101,2.226,2.347,2.464,2.471,2.282,2.109,2.23,2.568,2.483,2.789,2.082,2.595,2.661,2.414,1.68,2.275,2.387,2.341,2.249,2.636,2.406,2.651,2.564,2.58675,1128491.0,1457143.084327
12,0844,2.411,2.313,2.381,2.614,2.525,2.725,2.784,2.616,2.982,2.798,1.814,2.648,2.598,2.6,2.434,2.799,3.386,3.552,2.649,2.306,3.101,2.326,2.993,2.629,2.609,2.734,2.45,2.245,2.849,2.492,2.727,2.629,2.788,3.054,3.05,2.684,2.999,3.139,2.167,2.261,2.662,1.947,3.186,1.914,1.99,2.46,2.645,2.671,2.631,2.837,2.307,2.146,2.085,2.297,2.077,2.141,2.039,2.093,2.358,2.696,2.36,2.022,2.508,2.747,2.237,1.526,2.055,2.394,2.234,3.126,2.601,2.43,2.365,3.142,2.49561,1226103.0,1493827.759396
13,0845,2.386,2.547,2.245,2.791,2.271,2.481,2.782,2.828,3.044,2.748,1.858,2.512,2.547,2.54,2.428,2.607,2.871,2.916,2.626,2.13,2.713,1.889,3.13,2.509,2.635,2.695,2.427,2.142,2.749,2.517,2.36,2.397,2.327,2.767,2.757,2.564,2.562,2.527,2.237,2.177,2.531,2.123,2.904,1.901,2.016,2.528,2.277,2.376,2.69,2.569,2.085,1.928,2.063,2.308,2.269,2.104,2.235,2.253,2.637,2.541,2.249,2.269,2.258,2.956,2.134,2.305,2.014,2.2,2.389,2.301,2.642,2.454,2.354,2.508,2.41625,1239164.0,1634945.102282
14,0847,2.35,2.417,2.533,2.661,2.475,2.845,2.87,2.865,3.152,3.294,2.071,2.778,2.626,2.543,2.604,2.948,3.549,3.347,2.732,2.236,2.934,1.95,3.339,2.619,2.766,2.678,2.443,2.34,2.884,2.771,2.467,2.698,2.386,3.023,3.199,2.487,2.894,2.911,2.11,2.205,2.494,2.056,3.241,2.125,2.152,2.378,3.136,2.721,2.66,2.594,2.046,2.111,2.06,2.451,2.237,2.229,2.111,2.248,2.34,2.496,2.525,1.989,2.403,2.854,2.602,2.169,2.013,2.358,2.408,2.466,2.785,2.446,2.548,1.931,2.56001,1354625.0,1749774.619698
15,0849,2.474,2.502,2.551,2.667,2.619,2.69,2.709,2.795,3.079,2.849,1.891,2.805,2.857,2.567,2.498,2.784,3.796,3.552,2.685,2.325,2.825,2.31,3.202,2.71,2.651,2.764,2.489,2.458,2.816,2.567,2.515,2.505,2.745,3.181,3.102,2.511,2.954,2.94,2.176,2.562,2.685,2.087,3.157,1.969,1.976,2.219,2.823,2.632,2.585,2.557,2.174,2.062,2.044,2.476,2.122,2.137,2.029,2.236,2.31,2.668,2.616,1.923,2.199,2.665,2.103,1.904,2.163,2.202,2.407,2.458,2.612,2.379,2.538,2.587,2.52691,1125689.0,1433634.222055
